axis,class_or_status,count,image_ids
specimen_status,OK,0,
specimen_status,NG,13,"20260827_171517;20260827_171519;20260827_171532;20260827_171544;20260827_171549;20260827_171555;20260827_171556;20260827_171602;20260827_171603;20260827_171611;20260827_171925;20260827_171929;20260827_171931"
specimen_status,HOLD,4,"20260827_171640;20260827_171641;20260827_171652;20260827_171936"
manual_image_label,HOLD_QUALITY,4,"20260827_171517;20260827_171519;20260827_171532;20260827_171936"
manual_image_label,VIEW_OK_NOT_SPECIMEN_OK,4,"20260827_171544;20260827_171549;20260827_171555;20260827_171556"
manual_image_label,NG_SCRATCH,4,"20260827_171602;20260827_171603;20260827_171929;20260827_171931"
manual_image_label,NG_SCRATCH_SPOT,1,20260827_171611
manual_image_label,HOLD_MULTI_PART,3,"20260827_171640;20260827_171641;20260827_171652"
manual_image_label,NG_SCRATCH_SPOT_LEAD_REVIEW,1,20260827_171925
visible_class,scratch_confirmed,6,"20260827_171602;20260827_171603;20260827_171611;20260827_171925;20260827_171929;20260827_171931"
visible_class,surface_spot_unknown,2,"20260827_171611;20260827_171925"
visible_class,lead_deformation_review,1,20260827_171925
visible_class,breakage_confirmed,0,
visible_class,discoloration_confirmed,0,
visible_class,contamination_confirmed,0,
